ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Составитель,Тип обложки,Тираж,Формат,Художник,Цена
289147,2095284,9785911810436,Пушкин А.,12+,2016,0,Азбука-классика,208,Маленькие трагедии,https://img-gorod.ru/upload/iblock/853/853c3796fa6031b313b7a77b89374757.jpg,,,0,Азбука-классика,,Мягкая глянцевая,2000,18 x 11.7 x 0.9,,106
289312,2095907,9785699180004,Пушкин А.,,2006,0,Эксмо,112,Пушкин Стихотворения Сказки,https://img-gorod.ru/upload/iblock/91e/91e7e6219c82511859a1189cbcb14bf8.jpg,,,0,Все произведения для начальной школы,,Твердая глянцевая,,20.7 x 13.5 x 1,,54
290160,2098678,5969700231,Пушкин А.,,2006,0,Вагриус,477,Пушкин Собр. сочинений т.9 / 10 тт Письма 1815-1830,https://img-gorod.ru/upload/iblock/e05/e05ded3da62ddff7d75cb609b410d86f.jpg,,,0,Собрание сочинений,,Суперобложка,,21.7 x 14.8 x 3.1,,
292246,2121791,9785699214433,Пушкин А.,16+,2016,0,Эксмо,560,Капитанская дочка,https://img-gorod.ru/upload/iblock/646/6467cb38b55b1aea8af7a1a0817e8514.jpg,,,0,Русская классика,,Твердая бумажная,3000,20.8 x 13.5 x 3.4,,207
292916,2133346,9785699265534,Пушкин А.,,2007,0,Эксмо,144,Капитанская дочка 7-8 кл,https://img-gorod.ru/upload/iblock/f86/f866abfbe882a74de26dd95db14b6443.jpg,,,0,Классика в классе,,Мягкая глянцевая,,21.1 x 14.2 x 0.6,,
294684,2166049,9785699265527,Пушкин А.,,2008,0,Эксмо,224,Евгений Онегин 9-10 кл,https://img-gorod.ru/upload/iblock/df7/df7ebd1d411ad1addbbc6d1d06926632.jpg,,,0,Классика в классе,,Мягкая глянцевая,,,,
295065,2168550,9785699283286,Пушкин А.,,2008,0,Эксмо,288,Пушкин Стихотворения,https://img-gorod.ru/upload/iblock/253/253fa172d96768b18404640dfdfe3917.jpg,,,0,Поэтический класс,,Твердая глянцевая,,17 x 11.5 x 1.7,,
295596,2172505,9785699287031,Пушкин А.,,2008,0,Эксмо,416,Лирика Песнь о Вещем Олеге Руслан и Людмила Евгений Онегин,https://img-gorod.ru/upload/iblock/800/8000491caabe2240c519639b44bfbcb5.jpg,,,0,Подарочные иллюстрированные издания. Большая библиотека поэта,,Кожа,,24.5 x 17.3 x 5.2,,
297506,2194574,9785699329465,Пушкин А.,,2009,0,Эксмо,1008,Пушкин Сочинения,https://img-gorod.ru/upload/iblock/93c/93cb1b043cb046231970933107b174df.jpg,,,0,Большая литературная коллекция,,Суперобложка,,26.5 x 20.5 x 5.2,,421
298452,2205347,9785910451562,Пушкин А.,,2009,0,ИД Мещерякова,32,Пушкин Сказки,https://img-gorod.ru/upload/iblock/fd0/fd062455892f878fe40b722f54a9ae81.jpg,,,0,Детская классика,,Мягкая бумажная,,28.8 x 19.5 x 0.2,,72
299034,2207138,9785944641571,Пушкин А.,,2009,0,АСТ-Пресс СКД,336,Золотые строки Бесценные мысли...,https://img-gorod.ru/upload/iblock/7fd/7fda29256e58082b1a363553f3f4f5e1.jpg,,,0,,,Твердая бумажная,,24.5 x 18 x 3.3,,
300878,2215416,9785170623334,Пушкин А.,12+,2010,0,АСТ,316,Евгений Онегин Драмы,https://img-gorod.ru/upload/iblock/aa8/aa8624edee54f505187be8d44c292313.jpg,,,0,Русская классика,,Твердая бумажная,,20.9 x 13.8 x 2.1,,178
303358,2219338,9785170623174,Пушкин А.,,2010,0,АСТ,812,Пушкин Поэзия,https://img-gorod.ru/upload/iblock/272/272bd5abbd5f71d0671776a7b7ae35ad.jpg,,,0,Библиотека мировой литературы,,Твердая бумажная,,22.9 x 15 x 3.9,,
303656,2219782,9785699385997,Пушкин А.,,2009,0,Эксмо,256,Пушкин Стихи о любви,https://img-gorod.ru/upload/iblock/940/94067860cda9446e2dcd8ae7a2836f10.jpg,,Степанова Мария Владимировна,0,Стихи о любви,,Твердая бумажная,,17 x 13 x 2.2,,
305927,2223443,9785955513393,Пушкин А.,,2009,0,Дрофа-Плюс,456,Евгений Онегин Текст Комментарии,https://img-gorod.ru/upload/iblock/fb6/fb6fcba01b0f547f56d595769fca1519.jpg,,,0,,,Твердая бумажная,,24.4 x 17.4 x 3.5,,
305942,2223459,9785779318648,Пушкин А.,,2009,0,Белый город,480,Капитанская дочка,https://img-gorod.ru/upload/iblock/cb0/cb0296b9ecc06e4fd189067ce0b78fab.jpg,,,0,Русская классическая библиотека,,Твердая бумажная,,20.2 x 15 x 2.8,Колыбняк А.,
306846,2224802,9785389026742,Пушкин А.,12+,2016,2,Азбука-классика,192,Дубровский,https://img-gorod.ru/upload/iblock/b53/b534a98ef8f6e91b9c96de5c8bfdf72d.jpg,,Жикаренцев А.,4,Азбука-классика,,Мягкая глянцевая,2000,18 x 11.5 x 1.1,,106
308055,2226308,9785170634125,Пушкин А.,,2010,0,АСТ Астрель,380,Капитанская дочка и др. повести,https://img-gorod.ru/upload/iblock/c7b/c7bce79b4b74c934dc1b6b6c90b1c755.jpg,,Овчинникова Е. Ю.,0,Русская классика,,Твердая бумажная,,21 x 14 x 2.6,,
