ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
928861,2546936,9785090428866,Хантер Э.,6+,2016,4,Просвещение,350,Бескрайнее озеро,,,,4,Хроники Стаи,Твердая бумажная,9000,20.6 x 12.9 x 1.9,,304
930743,2549924,9785353078968,Емец Д.,12+,2016,0,Росмэн,144,Древняя Русь. История в рассказах для школьников,,,,0,,Твердая глянцевая,7000,22.3 x 16.7 x 1.4,,259
933415,2551022,9785170999538,Фрай М.,18+,2016,1,АСТ,320,Первая линия. Рассказы и истории разных лет,,,,5,Миры Макса Фрая,Твердая бумажная,5000,20.5 x 13 x 2,,332
935126,2553726,9785090471145,Хантер Э.,,2017,5,Просвещение,315,Месть звездного луча. Разлом. В двух книгах. Книга I,,Вероника Максимова,Корчагина О.,5,Коты-воители,Твердая бумажная,12000,20.6 x 13 x 1.6,Леонид Насыров,304
936702,2555304,9785170999422,Фрай М.,16+,2016,0,АСТ,320,Властелин Морморы,,,,0,Эксклюзивная новая классика,Мягкая бумажная,4000,18 x 11.6 x 2.3,,162
938933,2557880,9785699845590,Емец Д.,16+,2016,0,Эксмо,432,Таня Гроттер и птица титанов,,,Суворова Т.,0,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,4000,22 x 14.5 x 2.5,,327
940377,2558849,9785171003708,Фрай М.,16+,2016,5,АСТ,480,Сказки старого Вильнюса V,,,,5,,Суперобложка,10000,21 x 13.3 x 2.5,,356
949199,2566515,9785699899852,Емец Д.,12+,2017,4,Эксмо,416,Маг полуночи,,,,5,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,5000,21.8 x 14.2 x 2.3,,368
950639,2567167,9785699925131,Емец Д.,6+,2017,1,Эксмо,240,Таинственный Ктототам,,,,5,Моя большая семья,Твердая бумажная,4000,21.5 x 16.5 x 1.3,,409
950640,2567168,9785699925124,Емец Д.,6+,2017,0,Эксмо,240,Таинственный Ктототам,,,,0,Моя большая семья,Твердая бумажная,5000,21.6 x 16.5 x 1.6,,409
951618,2567798,9785699899883,Емец Д.,12+,2017,3,Эксмо,416,Свиток желаний,,,,4,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,5000,22 x 14.5 x 2.5,,327
951878,2568176,9785171012946,Фрай М.,18+,2017,1,АСТ,352,Вторая линия. Рассказы и истории разных лет,,,,5,Миры Макса Фрая,Твердая бумажная,5000,20.5 x 13 x 2,,77
959087,2575073,9785171014322,Фрай М.,18+,2017,0,АСТ,352,Авиамодельный кружок при школе № 6,,,,0,Миры Макса Фрая,Твердая бумажная,2000,20.7 x 13 x 2.7,,356
960491,2576264,9785171016395,Фрай М.,16+,2017,27,АСТ,384,Сундук мертвеца,,,,4,Сновидения Ехо,Твердая бумажная,30000,20.5 x 13 x 3,,356
961813,2577128,9785699899906,Емец Д.,12+,2017,1,Эксмо,384,Третий всадник мрака,,,,5,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,5000,21.8 x 14.4 x 2.2,,327
966186,2580749,9785171023553,Фрай М.,18+,2017,9,АСТ,384,Так не бывает,,,,4,Миры Макса Фрая,Твердая бумажная,7000,20.5 x 13 x 2.8,,375
967444,2581615,9785699954827,Емец Д.,16+,2017,7,Эксмо,384,Седло для дракона. Школа ныряльщиков,,,Суворова Т.,4,Школа ныряльщиков (Шныр),Твердая бумажная,7000,20.6 x 13 x 2.2,,350
968804,2582361,9785699928835,Емец Д.,12+,2017,1,Эксмо,416,Билет на Лысую Гору,,,,5,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,5000,22 x 14.3 x 2.4,,327
968824,2582380,9785001110583,Хантер Э.,6+,2017,2,Олма,351,Собачья гроза,,Вероника Максимова,Корчагина О.,4,Хроники Стаи,Твердая бумажная,7000,20.7 x 13.2 x 2,Леонид Насыров,304
968825,2582381,9785001110347,Хантер Э.,6+,2017,6,Олма,351,Месть звездного луча. Воссоединение. Книга II,,Вероника Максимова,Корчагина О.,5,Коты-воители,Твердая бумажная,10000,20.7 x 13.2 x 2,Леонид Насыров,304
973390,2585210,9785171022310,Фрай М.,16+,2017,10,АСТ,1184,Хроники Ехо,,,,5,,Твердая бумажная,3000,26.3 x 20.3 x 6.5,,1330
974441,2586286,9785001110057,Хантер Э.,,2017,7,Абрис,350,Коты-Воители. Первая битва,,,,4,Коты-воители,Твердая бумажная,10000,20.5 x 13 x 1.6,,304
976782,2587864,9785001110422,Хантер Э.,6+,2017,6,Олма Медиагрупп,479,Лес секретов. Бущующая стихия,,,,4,Коты-воители. Золотая коллекция,Твердая бумажная,4000,26.6 x 17.3 x 2.7,,609
976783,2587865,9785001110132,Хантер Э.,6+,2017,3,Олма Медиагрупп,492,Опасная тропа. Битва за лес,,,,5,Коты-воители. Золотая коллекция,Твердая бумажная,4000,26.6 x 17.3 x 2.7,,609
